Start 1h:3m:33s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s], Quaternion_w [], Quaternion_x [], Quaternion_y [], Quaternion_z [], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg]
0.000,      long,   9.64,  -0.06,   1.21,   -13.88,    -2.69,     2.25,  0.40, -0.53, -0.33, -0.67,  118.44,   77.75,   -4.62
0.005,          ,   9.64,  -0.06,   1.21,   -13.88,    -2.69,     2.25,  0.40, -0.53, -0.33, -0.67,  118.44,   77.75,   -4.62
0.010,          ,   9.39,  -0.04,   0.53,   -13.38,     1.50,     2.75,  0.40, -0.53, -0.33, -0.67,  118.44,   77.75,   -4.62
0.020,          ,   9.39,  -0.04,   0.53,    -9.62,     3.56,     3.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.025,          ,   8.92,  -0.23,   0.90,    -9.62,     3.56,     3.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.030,          ,   9.02,  -0.23,   1.00,    -4.44,     1.56,     2.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.035,          ,   9.02,  -0.23,   1.00,    -4.44,     1.56,     2.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.040,          ,   9.26,  -0.21,   1.05,    -0.38,     0.69,     1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.045,          ,   9.26,  -0.21,   1.05,    -0.38,     0.69,     1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.050,          ,   9.47,  -0.24,   1.21,     2.31,     2.81,     1.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.055,          ,   9.47,  -0.24,   1.21,     3.00,     7.50,     1.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.065,          ,   9.38,  -0.27,   1.21,     3.00,     7.50,     1.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.070,          ,   9.32,  -0.24,   1.46,     3.00,    11.12,     2.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.075,          ,   9.32,  -0.24,   1.46,     3.00,    11.12,     2.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.090,          ,   9.39,  -0.24,   1.59,     4.31,    12.25,     3.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.095,          ,   9.41,  -0.23,   1.45,     5.44,    16.50,     4.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.105,          ,   9.24,  -0.03,   1.67,     5.44,    16.50,     4.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.110,          ,   9.30,  -0.01,   1.92,     6.88,    13.00,     4.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.115,          ,   9.30,  -0.01,   1.92,     6.88,    13.00,     4.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.120,          ,   9.46,   0.06,   2.10,     6.88,     7.12,     4.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.125,          ,   9.46,   0.06,   2.10,     6.88,     7.12,     4.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
