Start 1h:8m:39s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s], Quaternion_w [], Quaternion_x [], Quaternion_y [], Quaternion_z [], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg]
0.000,      long,   9.04,   0.82,   1.56,    -6.00,     6.12,    -9.00,  0.39, -0.52, -0.29, -0.70,  121.31,   73.06,    0.88
0.005,          ,   9.04,   0.82,   1.56,    -1.88,     7.19,    -7.19,  0.39, -0.52, -0.29, -0.70,  121.31,   73.06,    0.88
0.010,          ,   9.04,   0.82,   1.56,    -1.88,     7.19,    -7.19,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.015,          ,   8.74,   0.98,   1.63,    -1.88,     7.19,    -7.19,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.020,          ,   8.61,   0.89,   1.79,     1.38,     4.00,    -6.38,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.025,          ,   8.61,   0.89,   1.79,     1.38,     4.00,    -6.38,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.030,          ,   8.35,   0.67,   1.77,     4.25,     0.31,    -4.81,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.035,          ,   8.35,   0.67,   1.77,     4.25,     0.31,    -4.81,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.045,          ,   8.21,   0.64,   1.78,     7.75,    -7.44,    -3.19,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.050,          ,   8.50,   0.62,   1.92,    11.12,   -15.12,    -2.31,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.055,          ,   8.50,   0.62,   1.92,    11.12,   -15.12,    -2.31,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.060,          ,   8.68,   0.61,   2.02,    12.06,   -17.19,    -0.56,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.065,          ,   8.68,   0.61,   2.02,    12.06,   -17.19,    -0.56,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.070,          ,   8.74,   0.64,   2.07,    12.06,   -17.25,     1.50,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.090,          ,   8.74,   0.64,   2.07,    12.06,   -17.25,     1.50,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.095,          ,   9.32,   0.69,   2.32,    13.38,    -6.75,     7.75,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.100,          ,   9.35,   0.76,   2.35,    13.38,    -6.75,     7.75,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.105,          ,   9.35,   0.76,   2.35,    14.06,    -3.19,     9.12,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.115,          ,   9.33,   0.87,   2.32,    14.06,    -3.19,     9.12,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.120,          ,   9.24,   1.11,   2.37,    14.75,    -2.19,    10.12,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.125,          ,   9.24,   1.11,   2.37,    14.75,    -2.19,    10.12,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.130,          ,   9.35,   1.12,   2.39,    14.38,    -1.56,    10.38,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
0.135,          ,   9.35,   1.12,   2.39,    14.38,    -1.56,    10.38,  0.35, -0.58, -0.33, -0.66,  123.50,   83.19,   -1.19
